work_year,experience_level,employment_type,job_title,salary_usd,employee_residence,remote_ratio,company_location,company_size
2024,EN,FT,Data Analyst,55000,US,0,US,M
2024,MI,FT,Data Analyst,82000,US,50,US,M
2024,SE,FT,Data Analyst,108000,US,100,US,L
2024,MI,FT,Data Analyst,46000,IN,0,IN,M
2024,SE,FT,Data Analyst,61000,IN,50,IN,L
2024,EN,FT,Data Analyst,38000,IN,0,IN,S
2024,MI,FT,Data Analyst,58000,GB,50,GB,M
2024,SE,FT,Data Analyst,79000,GB,100,GB,L
2024,EN,FT,Data Analyst,41000,GB,0,GB,S
2024,SE,FT,Senior Data Analyst,125000,US,100,US,L
2024,MI,FT,Data Scientist,118000,US,100,US,L
2024,SE,FT,Data Scientist,158000,US,100,US,L
2024,EN,FT,Data Scientist,95000,US,50,US,M
2024,MI,FT,Data Scientist,72000,DE,50,DE,M
2024,SE,FT,Data Scientist,98000,DE,100,DE,L
2024,MI,FT,Data Analyst,64000,CA,50,CA,M
2024,SE,FT,Data Analyst,89000,CA,100,CA,L
2024,EN,FT,Data Analyst,52000,CA,0,CA,S
2024,MI,FT,Business Analyst,71000,US,50,US,M
2024,SE,FT,Business Analyst,96000,US,100,US,L
2023,MI,FT,Data Analyst,78000,US,50,US,M
2023,SE,FT,Data Analyst,102000,US,100,US,L
2023,EN,FT,Data Analyst,53000,US,0,US,S
2023,MI,FT,Data Analyst,44000,IN,0,IN,M
2023,SE,FT,Data Analyst,59000,IN,50,IN,L
2023,MI,FT,Data Scientist,112000,US,100,US,L
2023,SE,FT,Data Scientist,149000,US,100,US,L
2023,MI,FT,Data Analyst,56000,GB,50,GB,M
2023,SE,FT,Data Analyst,75000,GB,100,GB,L
2023,MI,FT,Business Analyst,68000,US,50,US,M
2023,EN,PT,Data Analyst,35000,DE,0,DE,S
2023,MI,FT,Data Engineer,121000,US,100,US,L
2023,SE,FT,Data Engineer,152000,US,100,US,L
2023,MI,FT,Data Engineer,82000,GB,50,GB,M
2023,SE,FT,ML Engineer,168000,US,100,US,L
2024,SE,FT,ML Engineer,175000,US,100,US,L
2024,MI,FT,Data Engineer,128000,US,100,US,L
2024,MI,FT,Data Engineer,88000,CA,50,CA,M
2024,SE,FT,Data Scientist,104000,CA,100,CA,L
2024,EN,FT,Data Scientist,67000,GB,50,GB,M
